# Cumulative deaths.
# What the jurisdiction is REPORTING on their main web page for epidemic stats, at approximately 21:00 EDT each day.
# If there's no update for that day, then that entry is 'N'.
Jurisdiction,Country,Lat,Long,2020-06-16,2020-06-15,2020-06-14,2020-06-13,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-07,2020-06-06,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-31,2020-05-30,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-25,2020-05-24,2020-05-23,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-17,2020-05-16,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-10,2020-05-09,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-03,2020-05-02,2020-05-01,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-26,2020-04-25,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-19,2020-04-18,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-12,2020-04-11,2020-04-10,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-05,2020-04-04,2020-04-03,2020-04-02,2020-04-01,2020-03-31
BC, CA, 49.28,-123.12, 168,168,N,N,168,167,167,167,167,N,N,167,166,166,165,166,N,N,164,164,162,161,161,N,N,155,152,149,146,N,N,N,140,135,132,131,130,N,N,127,126,124,121,117,N,N,112,111,109,105,103,N,100,98,94,90,87,86,N,81,78,77,75,72,69,N,58,55,50,48,43,39,N,38,35,31,25,24
AB, CA, 53.93,-116.58, 151,151,150,150,149,149,151,151,149,N,146,146,146,145,143,143,143,143,143,143,141,139,138,135,135,134,132,128,128,128,127,126,125,121,120,118,117,117,116,115,114,112,106,104,95,94,92,89,87,80,75,73,73,72,67,66,61,59,55,51,50,50,48,48,46,44,40,N,32,29,26,24,23,20,18,13,11,9
SK, CA, 52.93,-106.45, 13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,10,10,10,10,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2
MB, CA, 53.76, -98.81, 7,7,N,N,7,7,7,7,7,N,N,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1
ON, CA, 51.25, -85.32, 2538,2527,2519,2507,2498,2487,2475,2464,2450,2426,2407,2372,2357,2312,2293,2276,2266,2247,2230,2189,2155,2123,2102,2073,2048,2021,1993,1962,1919,1904,1881,1858,1825,1798,1765,1725,1669,1634,1599,1540,1477,1429,1361,1300,1216,1176,1121,1082,996,951,892,835,811,763,713,659,622,584,553,514,478,423,385,334,291,274,253,222,200,174,153,132,119,94,67,53,37,33
QC, CA, 52.93, -73.55, 5269,5242,5222,5195,5148,5105,5081,5029,4984,4978,4970,4935,4885,4794,4713,4661,4641,4439,4363,4302,4228,4139,4069,3984,3940,3865,3800,3718,3647,3596,3562,3483,3401,3351,3220,3131,3013,2928,2786,2725,2631,2510,2398,2280,2205,2136,2022,1859,1761,1682,1599,1515,1446,1340,1243,1134,1041,939,877,805,688,630,487,435,360,328,289,241,216,175,150,121,94,75,61,36,33,31
NB, CA, 46.56, -66.46, 2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS, CA, 44.68, -63.74, 62,62,62,62,62,62,62,N,N,61,61,61,61,60,60,60,60,60,59,59,59,59,58,58,58,58,58,57,56,55,55,55,55,51,51,48,48,47,47,46,44,41,41,38,37,31,29,28,28,27,24,24,22,16,16,12,10,9,9,7,4,3,3,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0
PE, CA, 46.51, -63.42, N,0,N,N,0,0,N,0,0,N,N,N,0,0,0,0,N,N,0,0,N,0,N,N,N,0,N,N,N,N,N,N,0,N,0,N,0,N,N,0,N,0,N,0,N,N,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,0,0,0,0,N,0,0,0,0,0
NL, CA, 53.13, -57.66, 3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,N,0,0,0
NU, CA, 65.70, -93.90, N,0,N,N,N,0,N,N,0,N,N,N,N,0,0,N,N,N,0,N,0,0,N,N,N,N,0,N,N,0,N,N,0,N,0,N,0,N,0,0,N,N,N,0,N,N,N,0,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,N,N,N,0,0,N,0,N,N,N,N,0,0
NT, CA, 63.20,-115.80, 0,0,N,N,0,0,0,0,0,N,N,0,0,0,0,0,N,N,0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YT, CA, 63.00,-135.70, 0,N,N,N,0,0,0,0,0,N,N,0,0,0,0,0,N,N,0,0,0,0,N,N,N,0,0,0,0,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,N,0,N,0,N,N,N,N,0,N,0,N,N,0,N,0,0
CA, CA, 60.20,-102.00, 8213,8175,8146,8107,8049,7994,7960,7897,7835,7800,7773,7652,7543,7414,7344,7305,7092,6996,6918,6799,6671,6566,6453,6380,6277,6180,6062,5955,5857,5805,5702,5679,5499,5337,5209,5049,4993,4728,4628,4471,4280,4111,3915,3854,3606,3566,3391,3082,2996,2766,2617,2489,2350,2197,2146,1871,1728,1690,1506,1346,1309,1048,1010,903,780,674,653,531,509,435,380,293,258,231,187,138,109,96
