# Current number of hospitalized people.
# Note that this number is NOT cumulative.
# What the jurisdiction is REPORTING on their main web page for epidemic stats, at approximately 21:00 EDT each day.
# If there's no update for that day, then that entry is 'N'. 
# The CA jurisdiction (the federal government) is currently not publishing stats on hospitalizations.
Jurisdiction,Country,Lat,Long,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-07,2020-06-06,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-31,2020-05-30,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-25,2020-05-24,2020-05-23,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-17,2020-05-16,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-10,2020-05-09,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-03,2020-05-02,2020-05-01,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-26,2020-04-25,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-19,2020-04-18,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-12,2020-04-11,2020-04-10,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-05,2020-04-04,2020-04-03,2020-04-02,2020-04-01,2020-03-31
BC, CA, 49.28,-123.12, 12,13,12,15,16,N,N,21,26,32,31,32,N,N,34,33,37,37,37,N,N,41,43,43,45,N,N,N,51,58,59,63,66,N,N,73,76,74,78,77,N,N,79,82,89,94,97,N,N,96,103,103,109,104,N,N,119,120,131,134,137,N,134,128,132,135,138,140,N,149,146,149,142,128
AB, CA, 53.93,-116.58, 53,45,42,46,44,N,44,44,48,48,51,53,52,53,55,50,43,45,45,46,48,54,59,58,61,65,57,60,62,65,70,73,73,71,74,80,85,82,87,89,90,88,86,90,86,82,87,83,77,76,72,70,64,63,65,57,60,N,N,44,47,44,47,48,47,44,42,40,48,42,39,32,29,26
SK, CA, 52.93,-106.45, 1,1,1,1,1,1,1,1,2,2,2,4,4,3,4,4,4,5,6,5,6,5,5,4,5,5,5,8,9,10,10,11,11,12,15,19,12,13,13,11,14,12,10,10,10,8,7,5,4,5,6,5,5,4,4,5,5,7,8,7,8,7,8,8,8,8,7,4,4,4,3,4,4,4
MB, CA, 53.76, -98.81, 0,0,0,0,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,4,4,4,4,4,5,5,5,4,5,5,6,5,5,5,7,7,8,7,7,7,7,7,8,8,7,8,8,9,9,8,8,8,N,11,12,12,11,11,10,9,5,4,3
ON, CA, 51.25, -85.32, 527,538,580,600,603,635,673,749,776,791,801,781,781,801,826,833,847,848,859,878,912,961,984,991,987,972,934,975,986,1026,1018,1025,1027,961,1016,1028,1033,1032,1043,984,1010,977,1017,999,977,957,945,938,925,910,887,878,859,802,809,828,829,807,795,769,760,738,691,673,632,605,614,589,523,506,462,405,332,291
QC, CA, 52.93, -73.55, 840,871,914,961,979,972,981,1030,1076,1141,1175,1185,1198,1197,1265,1331,1378,1403,1425,1435,1452,1479,1504,1516,1784,1771,1766,1763,1822,1834,1876,1841,1838,1831,1835,1827,1836,1840,1821,1772,1754,1738,1716,1684,1648,1625,1541,1518,1509,1460,1411,1278,1224,1169,1102,1130,1076,1018,984,936,824,824,778,733,679,632,583,533,525,478,441,365,307,286
NB, CA, 46.56, -66.46, 5,5,5,5,5,4,4,4,4,5,5,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,5,5,5,5,5,5,5,6,5,5,5,7,5,5,5,6,7,7,4,4,4,4,4,1
NS, CA, 44.68, -63.74, 2,2,2,N,N,3,3,3,3,3,5,6,7,7,8,8,7,7,6,6,6,8,9,8,9,8,8,8,9,9,9,9,9,9,7,5,5,5,6,6,6,9,10,10,11,12,12,13,11,11,10,10,11,12,11,11,11,11,9,10,9,9,8,8,10,11,11,10,6,4,5,5,5,4
PE, CA, 46.51, -63.42, 0,0,N,0,0,N,N,N,0,0,0,0,N,N,0,0,N,0,N,N,N,0,N,N,N,N,N,N,0,N,0,N,0,N,N,0,N,0,N,0,N,N,0,0,0,0,0,N,N,0,0,0,0,0,N,0,0,0,0,0,0,N,0,N,0,0,0,0,N,0,0,0,0,0
NL, CA, 53.13, -57.66, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,8,8,8,7,6,7,6,6,7,8,10,11,11,11,15,11
