# News events for Prince Edward Island.
# Fields:
#  Date-time (Civil time) | Description | URL
2020-03-26 | Local CBC news programming (Compass) is restored (30 minutes) | https://www.cbc.ca/news/canada/prince-edward-island/pei-tv-compass-returns-1.5509187
2020-03-23 | Fines for not complying with self-isolation directives |  https://www.princeedwardisland.ca/en/news/new-provincial-measures-protect-islanders
2020-03-21T14:00 | Screening and self-isolation restrictions on travel, both international and inter-provincial | https://www.princeedwardisland.ca/en/publication/public-health-order-covid-19-self-isolation
2020-03-18 | Premier King responds to suspension of local CBC news programming | https://www.princeedwardisland.ca/en/news/statement-premier-king-suspension-local-cbc-news-programming
2020-03-17 | UPEI has essential services only; library closed | https://www.upei.ca/health-centre/coronavirus
2020-03-16 | Some non-essential provincial government offices closed | https://www.princeedwardisland.ca/en/news/province-announces-more-financial-support-islanders
2020-03-16 | Many provincial government offices closed to the public | https://www.princeedwardisland.ca/en/news/province-announces-more-financial-support-islanders
2020-03-16 | Public Health Emergency declared | https://www.princeedwardisland.ca/en/news/premier-announces-initial-financial-support-declares-public-health-emergency
2020-03-16 | March break for schools extended by two weeks, until April 6 | https://www.princeedwardisland.ca/en/news/premier-announces-initial-financial-support-declares-public-health-emergency
2020-03-16 | Daycares closed indefinitely starting March 17 | https://www.princeedwardisland.ca/en/news/premier-announces-initial-financial-support-declares-public-health-emergency
2020-03-16 | Emergency Measures Office (EMO) activated to level 2 | https://www.princeedwardisland.ca/en/news/premier-announces-initial-financial-support-declares-public-health-emergency
2020-03-16 | UPEI suspends in-person classes and labs | https://www.upei.ca/health-centre/coronavirus
2020-03-15 | Long-term care centres restrict visitors | https://www.princeedwardisland.ca/en/news/new-provincial-measures-regarding-covid-19-announced
2020-03-15 | Hospitals focus on essential services only | https://www.princeedwardisland.ca/en/news/new-provincial-measures-regarding-covid-19-announced
2020-03-15T18:00 | UPEI sports centre closed | https://www.upei.ca/health-centre/coronavirus
2020-03-14 | First COVID-19 case reported | https://www.princeedwardisland.ca/en/news/pei-confirms-first-positive-case-covid-19
2020-03-13 | Premier King self-isolates after travelling to the US |  https://www.princeedwardisland.ca/en/news/statement-premier-covid-19
2020-03-08 | From March 8 onwards, international travellers need to self-isolate | https://www.princeedwardisland.ca/en/news/pei-confirms-first-positive-case-covid-19


